Joueur,Equipe,MJ,Min,Pts,Reb,As,Ro,Rd,2P%,3P%,TIRS%,LF%,TS%,St,Bl,To,Fo,Plus_Minus,Eval
Clement More,Pau-Lacq-Orthez U21,18,15.9,7.6,1.8,2.1,0.7,1.1,31.7,38.9,35.1,83.7,51.5,1.3,0.1,1.3,0.8,-1.0,7.0
Hector Mvumbi Wa Bamba,Stade Rochelais U21,22,22.2,7.6,2.5,0.9,0.7,1.8,52.4,37.3,45.6,60.0,54.4,0.8,0.1,0.9,3.3,0.9,7.0
Jules Grotzinger,AS Alsace U21,15,18.3,7.0,3.3,1.2,1.5,1.9,51.9,11.1,41.7,52.2,44.4,1.3,0.5,1.3,1.5,6.3,7.0
Oluwatobi Osibote,Evreux U21,22,21.0,6.6,3.1,2.8,1.0,2.1,46.4,17.3,37.0,81.0,42.6,1.9,0.0,2.6,1.5,-1.5,7.0
Ahmed Tidiane Diallo,Orléans U21,2,16.5,6.0,4.5,0.0,2.0,2.5,100.0,0.0,75.0,50.0,64.7,0.0,1.0,1.0,2.5,2.0,7.0
Louis-Dramane Sangare,Caen U21,22,22.0,5.7,4.3,1.4,1.5,2.7,50.0,30.8,47.4,50.0,51.1,0.7,0.2,1.5,2.2,-2.0,7.0
Thierno Adalla,Champagne Basket U21,2,9.5,4.0,3.0,1.0,0.5,2.5,100.0,50.0,60.0,-,80.0,0.5,0.0,0.5,1.5,8.0,7.0
Mathis Ngbondo-Simeau,Evreux U21,22,22.5,7.0,5.4,1.4,1.8,3.6,41.9,16.7,37.9,66.0,44.0,0.5,0.1,2.4,2.0,-3.0,6.9
Gaston Grollier,Roanne U21,14,20.6,6.6,2.3,2.0,0.7,1.6,59.3,29.6,39.5,85.7,52.8,0.9,0.1,1.3,1.4,-2.2,6.9
Cheikh Tandia,AS Alsace U21,21,23.3,5.5,2.4,3.6,0.6,1.8,52.1,20.0,39.8,68.4,45.9,1.3,0.1,2.3,2.0,1.7,6.9
Dan Boudine,Orléans U21,18,17.0,7.3,2.3,1.0,0.7,1.6,58.8,35.3,47.1,78.3,58.9,0.8,0.0,1.4,1.8,-2.9,6.8
Ismael Clabaut-Ouattara,Pau-Lacq-Orthez U21,20,18.8,6.6,3.7,0.6,1.2,2.6,45.6,30.4,38.1,87.9,51.8,0.8,0.0,1.3,2.0,-2.2,6.8
Yanis Daney de Marcillac-Lacroix,Pau-Lacq-Orthez U21,22,19.1,6.5,4.3,0.5,1.8,2.5,49.2,21.4,46.3,44.8,47.7,0.7,0.1,1.4,2.4,-5.7,6.7
Georly Okoko Nguiambo,Champagne Basket U21,22,16.0,4.1,3.6,1.3,0.8,2.8,53.7,25.5,37.5,50.0,45.2,1.0,0.7,1.1,1.2,-6.1,6.7
David Sabe-Goromo,Challans U21,22,19.4,6.2,4.8,1.0,1.3,3.5,46.9,23.3,36.9,55.9,43.9,1.1,0.2,1.9,2.6,-8.1,6.6
Lilian Rinaldo-Komlan,Hyères-Toulon U21,22,14.7,5.9,3.4,1.0,1.7,1.6,60.0,17.9,49.1,52.8,52.5,0.7,0.3,1.4,2.1,-0.8,6.6
Simon Perard,Roanne U21,19,22.7,5.7,2.4,2.5,0.9,1.5,49.3,23.3,41.4,76.9,49.3,1.1,0.1,1.7,1.5,-1.2,6.6
Isaac Ramphort,Antibes U21,6,18.3,6.0,1.5,3.7,0.3,1.2,55.6,0.0,44.1,75.0,48.0,0.8,0.2,2.2,2.3,5.8,6.5
Lilian Deturck,Poitiers U21,21,22.1,5.6,2.7,2.2,1.0,1.7,47.6,27.8,43.2,72.4,54.9,0.8,0.3,2.1,3.2,-0.6,6.5
Tidiann Dulas,Saint-Chamond U21,22,15.5,4.7,3.5,1.1,1.3,2.2,60.0,27.6,48.1,62.5,55.9,0.5,0.1,1.1,0.5,1.6,6.5
