Joueur,Equipe,MJ,Min,Pts,Reb,As,Ro,Rd,2P%,3P%,TIRS%,LF%,TS%,St,Bl,To,Fo,Plus_Minus,Eval
Allan Marius,SCABB,13,6.9,1.0,0.4,0.8,0.1,0.3,46.2,0.0,26.1,50.0,27.2,0.2,0.0,0.5,1.0,-0.8,0.5
Christopher Jilani,Lorient,4,2.0,0.5,0.5,0.0,0.0,0.5,100.0,-,100.0,0.0,53.2,0.0,0.0,0.0,0.0,-4.0,0.5
Jefferson Diallo,Poissy,2,2.0,0.0,0.0,0.5,0.0,0.0,-,-,-,-,-,0.0,0.0,0.0,0.0,-1.0,0.5
Keziah Berger,Angers,5,2.6,0.4,0.4,0.2,0.2,0.2,50.0,0.0,25.0,-,25.0,0.0,0.0,0.0,0.4,0.6,0.4
Stolt Engueng,Salon-de-Provence,27,8.8,0.8,0.9,0.4,0.1,0.7,31.8,9.1,24.2,50.0,29.4,0.3,0.0,0.9,1.3,-1.2,0.3
Revaz Mikeladze,Charleville-Méz.,10,6.3,0.5,0.8,0.2,0.1,0.7,33.3,0.0,22.2,50.0,25.3,0.0,0.0,0.4,0.4,-2.9,0.3
Elio Pougary,Saint-Vallier,4,2.8,1.2,0.5,0.5,0.2,0.2,50.0,0.0,33.3,50.0,36.3,0.0,0.0,0.8,0.2,-1.2,0.2
Armel Gerard-Camille Koudou,Levallois,4,4.0,0.8,1.0,0.0,0.5,0.5,50.0,-,50.0,33.3,45.2,0.0,0.0,0.8,1.0,-2.0,0.2
Merayan Ravier,Chartres,4,2.8,0.8,0.2,0.5,0.0,0.2,0.0,-,0.0,75.0,54.3,0.5,0.0,1.2,0.2,-4.2,0.2
Ilian Toholin,Pôle France,5,12.8,0.6,1.2,0.4,0.0,1.2,0.0,100.0,16.7,0.0,21.8,0.2,0.0,0.8,1.0,-4.6,0.2
Victor Kling,Mulhouse,3,4.7,0.7,0.0,0.3,0.0,0.0,100.0,0.0,33.3,-,33.3,0.0,0.0,0.3,0.0,-2.0,0.0
Bastien Page,Angers,10,2.3,0.5,0.0,0.0,0.0,0.0,100.0,20.0,33.3,-,41.7,0.0,0.0,0.1,0.0,-1.3,0.0
Alexandre Dagnaud,Levallois,1,1.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,0.0,0.0,1.0,0.0
Arouna Sakho,Chartres,1,1.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
Florentin Zulmea,Boulogne-sur-Mer,1,1.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,0.0,0.0,-1.0,0.0
Louis Mouton,Orchies,1,1.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
Marius Parnet,Fougères,6,2.7,0.0,0.3,0.0,0.3,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.2,0.0,-2.5,0.0
Marvin Rosele,Lorient,1,1.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,0.0,1.0,-5.0,0.0
Mathieu Longoni,Levallois,1,5.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,0.0,0.0,-6.0,0.0
Moudou Kane,Val de Seine,1,3.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,0.0,0.0,2.0,0.0
Noah Diatta,SCABB,2,1.5,0.0,0.5,0.0,0.5,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,-3.0,0.0
Gabin Caron,Metz BC,7,2.0,0.9,0.0,0.0,0.0,0.0,-,40.0,40.0,-,60.0,0.0,0.0,0.6,0.4,-1.9,-0.1
Loic Depaix,Charleville-Méz.,4,3.8,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,50.0,17.4,0.0,0.0,0.2,0.8,-2.0,-0.2
Léonard Waltefaugle,Besançon,5,1.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,0.2,0.2,-0.8,-0.2
Teho Da Silva,Tours,3,1.0,0.3,0.3,0.0,0.0,0.3,0.0,-,0.0,50.0,26.6,0.0,0.0,0.3,0.0,-0.3,-0.3
M. B.,Toulouse,4,5.8,0.8,0.5,0.0,0.0,0.5,-,14.3,14.3,-,21.4,0.0,0.0,0.2,1.0,-2.8,-0.5
Bryan Chretien,SCABB,6,4.5,0.3,1.0,0.0,0.5,0.5,0.0,-,0.0,25.0,13.3,0.0,0.2,0.3,0.7,-1.0,-0.5
Adama N'diaye,Saint-Vallier,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.5,2.0,-0.5
Benali Hanifi,Boulogne-sur-Mer,2,2.5,0.0,0.5,0.0,0.0,0.5,0.0,-,0.0,-,0.0,0.0,0.0,0.5,1.5,-3.0,-0.5
Joseph Marie Ehueni,Le Havre,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,2.0,0.0,-0.5
Taig Nonga Drieux,Pôle France,2,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.5,1.5,-4.0,-0.5
Timothé Aimée,LYONSO,2,1.5,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,-2.5,-0.5
Victor Meisse,Saint-Vallier,2,1.5,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.5,-3.0,-0.5
Pape Samba Mane,Mulhouse,6,6.7,0.2,0.3,0.2,0.0,0.3,0.0,0.0,0.0,25.0,7.4,0.2,0.0,0.2,0.2,0.8,-0.7
Nevane Kessely,Levallois,1,10.0,0.0,1.0,0.0,0.0,1.0,-,0.0,0.0,-,0.0,0.0,0.0,1.0,1.0,2.0,-1.0
Mathyas Marbaise,Charleville-Méz.,5,2.8,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,-,0.0,0.2,0.0,1.0,0.8,-1.4,-1.4
Malcom Ndiaye,SCABB,3,6.0,0.3,0.7,0.3,0.3,0.3,0.0,0.0,0.0,50.0,8.5,0.3,0.0,1.7,1.0,-5.3,-2.0
Elijyah Nadeau Jolo,Pôle France,1,14.0,1.0,0.0,0.0,0.0,0.0,-,0.0,0.0,50.0,10.2,1.0,1.0,1.0,1.0,-15.0,-3.0
