Joueur,Equipe,MJ,Min,Pts,Reb,As,Ro,Rd,2P%,3P%,TIRS%,LF%,TS%,St,Bl,To,Fo,Plus_Minus,Eval
Marius Balança,Salon-de-Provence,30,22.7,7.7,1.9,1.0,0.4,1.5,39.2,34.5,36.7,84.4,50.3,0.6,0.1,1.1,2.1,-4.4,5.5
Noah Goudou-Sinha,Poissy,24,19.0,6.8,2.8,2.2,1.0,1.8,40.4,28.2,35.0,65.3,45.2,0.5,0.0,1.8,2.2,-3.9,5.5
Landing Sane,Val de Seine,4,16.5,6.0,4.5,0.8,1.0,3.5,37.5,40.0,38.9,60.0,53.6,0.5,0.0,2.5,1.8,0.2,5.5
Anthony Spinali,Berck Rang du Fliers,12,18.2,5.8,1.8,1.4,0.6,1.2,48.4,20.5,32.9,88.2,44.5,1.2,0.2,0.8,1.7,-3.9,5.5
Cheikh Gassama,Les Sables d'Olonne,26,19.5,5.7,2.4,2.3,1.0,1.4,55.4,16.0,41.5,36.8,44.0,1.1,0.1,1.5,2.0,1.7,5.5
Louis Morisseau,Poissy,26,16.9,3.6,1.2,3.2,0.2,1.0,48.3,25.0,40.7,64.0,47.9,1.2,0.1,1.4,2.5,-1.1,5.5
Eric Bosc,Saint-Vallier,28,16.8,4.3,2.6,1.4,0.9,1.7,49.3,23.7,40.7,43.2,45.3,0.9,0.4,0.9,3.1,-0.9,5.4
Ansumana Tawredu,Mulhouse,29,13.8,4.0,2.8,1.4,1.1,1.7,51.9,26.7,47.9,47.7,50.7,0.4,0.3,1.0,1.7,1.8,5.4
Karl-David Nkounkou,Salon-de-Provence,9,16.1,4.1,2.7,0.3,0.8,1.9,51.6,-,51.6,62.5,53.6,0.7,0.1,0.6,2.1,-9.7,5.3
Messie-Guethan Iwani,Pôle France,3,10.0,3.7,2.3,0.7,0.3,2.0,33.3,60.0,50.0,-,68.8,0.3,0.0,0.3,1.0,-2.3,5.3
Gnahoré Dali,Angers,29,18.3,5.2,2.8,0.7,0.9,1.9,59.6,28.6,40.4,58.1,50.8,0.4,0.4,1.1,2.3,-1.2,5.2
Tony Housieaux,Loon Plage,28,18.6,7.0,2.0,1.4,0.4,1.6,46.2,32.0,36.2,75.0,50.9,0.3,0.0,1.2,1.9,-0.6,5.1
Malela Mutuale,Fos-sur-Mer,23,23.0,4.3,2.0,3.0,0.3,1.7,31.8,29.5,30.9,65.5,40.7,0.7,0.1,1.3,1.8,1.5,5.1
Benoit Mangin,Berck Rang du Fliers,7,21.3,4.7,1.6,3.6,0.4,1.1,62.5,26.1,35.5,83.3,49.0,0.3,0.0,2.1,1.9,-2.6,5.0
Axel Dossou,Orchies,29,17.9,3.5,2.2,1.0,1.3,0.9,57.3,100.0,57.8,21.7,54.8,0.8,0.2,1.0,2.6,-0.2,4.8
Pavel Bronner-Szulc,Besançon,30,15.7,5.0,1.5,3.1,0.1,1.3,39.4,19.8,28.9,74.6,42.0,0.7,0.0,1.5,1.8,-1.9,4.7
Mael Lebrun,Fougères,30,20.3,4.7,2.5,1.2,0.7,1.8,42.4,28.1,31.2,66.7,43.8,0.7,0.1,0.8,2.1,-0.2,4.7
Moussa Mayaki,Boulogne-sur-Mer,21,10.1,4.6,2.6,0.2,0.8,1.9,53.6,-,53.6,71.9,58.4,0.1,0.0,1.0,2.2,-1.5,4.7
Elijah Ifejeh,Levallois,7,14.7,4.3,2.4,0.4,0.7,1.7,63.2,-,63.2,66.7,65.3,0.6,0.1,1.7,3.6,-2.1,4.7
Anatole Humeau,SCABB,9,16.4,3.2,4.0,0.8,1.9,2.1,38.9,40.0,39.3,37.5,46.0,0.9,0.0,1.9,1.3,-5.1,4.6
Noam Masdieu-Reynaert,LYONSO,15,14.5,4.7,1.5,2.1,0.5,1.0,46.2,21.4,40.9,44.8,44.4,1.4,0.1,1.5,2.7,-0.9,4.5
Hugo Marin-Birkener,Vitré,23,14.5,4.4,2.2,0.6,0.7,1.5,51.3,29.6,38.7,100.0,51.2,0.5,0.0,0.7,1.3,-2.4,4.5
Simon Correa,Besançon,17,12.5,3.5,2.2,0.9,0.5,1.7,57.1,20.0,39.6,85.7,49.9,0.2,0.0,0.4,1.1,-4.8,4.4
Moustapha Toure,Salon-de-Provence,3,11.7,4.3,2.3,0.7,0.3,2.0,50.0,40.0,44.4,75.0,60.4,0.3,0.0,1.3,2.7,-4.0,4.3
Albert Shungu,SCABB,29,12.1,3.4,2.4,0.4,0.9,1.5,60.0,18.2,47.2,72.2,55.8,0.6,0.2,0.9,1.6,-1.7,4.3
Bali Coulibaly,Tarbes-Lourdes,8,17.4,6.0,4.4,0.8,2.0,2.4,46.3,0.0,45.2,31.2,42.8,0.9,0.2,2.4,2.8,-0.2,4.2
Nael Sane,Lorient,17,10.5,5.9,1.0,1.4,0.2,0.8,53.3,27.8,46.0,57.8,54.8,0.6,0.0,1.1,1.8,2.8,4.2
Marlone Rugard,Val de Seine,30,13.8,4.7,1.3,0.9,0.5,0.8,50.0,36.1,43.0,70.0,53.9,0.5,0.3,1.0,2.0,-4.4,4.2
Liam Kabeya,Pôle France,6,12.7,2.2,1.5,1.2,0.3,1.2,40.0,28.6,33.3,75.0,47.2,0.8,0.3,0.3,1.3,-1.7,4.2
Adel Alain,Val de Seine,1,22.0,8.0,3.0,2.0,1.0,2.0,33.3,33.3,33.3,50.0,40.5,0.0,1.0,3.0,3.0,-1.0,4.0
Hugo Cucherat,SCABB,11,18.5,4.5,1.6,1.6,0.3,1.4,36.4,33.3,34.0,100.0,48.2,0.5,0.0,1.2,0.7,-8.3,4.0
Alan Robert-Suarez,Metz BC,22,17.0,6.9,1.2,0.5,0.4,0.8,48.5,30.9,38.9,45.8,47.6,0.9,0.1,1.0,1.6,-4.0,3.9
Yegor Yegorov,SCABB,4,6.8,2.5,2.5,0.2,1.2,1.2,71.4,-,71.4,0.0,63.5,0.0,0.2,0.8,1.0,-1.2,3.8
Frederic Loubaki,Val de Seine,7,22.3,8.6,1.7,2.4,0.3,1.4,43.3,13.6,30.8,69.4,44.2,1.0,0.0,3.3,2.6,-12.1,3.7
Ryan Lobreau,Salon-de-Provence,7,12.7,4.0,1.4,0.1,0.4,1.0,59.1,-,59.1,50.0,58.9,0.4,0.3,1.0,2.9,-6.1,3.7
Axel Villain,Loon Plage,6,8.3,3.5,1.0,0.7,0.0,1.0,75.0,35.7,44.4,-,58.3,0.2,0.2,0.2,1.2,-5.7,3.7
Pierre Hourné Raubet,Tarbes-Lourdes,27,10.5,3.9,1.2,1.7,0.3,0.9,48.9,27.6,37.1,76.9,47.0,0.4,0.0,1.0,1.4,2.1,3.6
Felix De Almeida,Toulouse,20,9.8,3.2,1.7,0.2,1.0,0.7,67.6,22.2,51.9,41.7,55.0,0.5,0.0,0.4,0.6,-0.9,3.6
Auguste Cagnet,Besançon,25,13.2,5.4,1.9,0.4,0.7,1.2,54.9,26.8,38.5,75.0,49.9,0.2,0.0,1.2,1.6,-1.8,3.5
Quentin Hanck,Besançon,11,13.5,4.4,1.2,0.7,0.2,1.0,33.3,36.4,36.1,90.9,58.8,0.5,0.0,1.0,1.7,-5.6,3.5
Theo Jolivet,Tarbes-Lourdes,30,8.9,3.1,2.0,0.3,0.8,1.2,60.0,30.0,52.5,66.7,56.9,0.2,0.0,0.8,1.5,2.4,3.5
Pierre-Baptiste Kieger,Charleville-Méz.,28,17.7,5.5,1.2,0.8,0.1,1.0,33.3,29.3,29.9,88.9,45.1,0.6,0.0,0.6,1.5,-6.3,3.3
Mateo Landry Nzonzi,LYONSO,30,16.0,4.6,1.5,1.1,0.5,1.1,43.6,23.3,28.9,75.0,43.1,0.4,0.0,0.7,2.2,-2.4,3.3
Jules Durand,Berck Rang du Fliers,15,9.3,3.3,0.9,1.0,0.3,0.6,65.4,30.0,55.6,87.5,63.3,0.2,0.0,0.9,1.1,-2.4,3.3
Adrien Thimon,Saint-Vallier,30,16.8,4.8,1.3,1.2,0.5,0.8,35.4,29.2,31.8,83.3,43.8,0.6,0.0,1.1,1.9,-1.4,3.2
Joanis Maquiesse,Fos-sur-Mer,19,13.8,3.3,0.9,1.3,0.5,0.5,45.5,12.5,40.4,60.6,47.4,0.6,0.0,0.6,1.8,-1.7,3.2
Mohamed Doumbya,Tarbes-Lourdes,12,9.2,3.2,1.9,0.4,0.4,1.5,52.2,16.7,36.6,50.0,41.9,0.8,0.2,0.8,0.9,-1.4,3.2
Thibault Alexis,Val de Seine,19,16.6,3.2,1.7,1.5,0.5,1.3,28.6,30.6,30.2,58.3,43.9,0.3,0.0,1.0,2.1,-4.4,3.2
Louis Boulaire,Berck Rang du Fliers,21,8.7,2.5,1.2,0.7,0.4,0.9,60.0,36.0,45.0,61.5,58.0,0.2,0.0,0.1,1.5,1.3,3.2
Sven Ngom,Pôle France,20,9.0,2.3,2.0,0.6,0.8,1.3,52.5,-,52.5,40.0,51.8,0.2,0.1,0.8,1.8,-4.3,3.2
Sherif Sebabe,Chartres,29,10.4,3.3,1.7,0.4,1.0,0.7,55.9,13.6,44.4,60.0,49.8,0.4,0.0,0.7,2.0,-0.7,3.1
Seydou Diallo,Fos-sur-Mer,18,9.8,2.6,1.9,0.6,0.6,1.3,45.9,66.7,47.5,50.0,50.8,0.1,0.3,0.8,0.8,-1.8,3.1
Tyem Latroy Freeman,Val de Seine,3,22.3,6.0,2.7,0.3,0.7,2.0,16.7,41.7,33.3,50.0,47.7,0.3,0.0,2.0,1.7,0.7,3.0
Paul-Lou Duwiquet,Loon Plage,8,22.2,4.5,1.8,2.0,0.0,1.8,31.6,16.0,22.7,75.0,35.3,0.6,0.0,1.1,1.8,-1.0,3.0
Alexandre Dogbe,Val de Seine,4,22.0,4.0,2.5,2.2,0.8,1.8,22.2,30.0,26.3,75.0,38.5,0.2,0.0,2.2,1.2,-20.2,3.0
Mathys Leroy,LYONSO,1,6.0,4.0,1.0,0.0,0.0,1.0,66.7,0.0,50.0,-,50.0,0.0,0.0,0.0,3.0,2.0,3.0
Sacha Bare,Angers,1,3.0,4.0,0.0,0.0,0.0,0.0,100.0,-,100.0,-,100.0,0.0,0.0,1.0,1.0,3.0,3.0
Tidjan Auguet,Vitré,22,12.8,3.3,1.8,1.5,0.5,1.3,41.0,35.7,38.8,42.3,46.5,0.4,0.0,1.5,2.1,-2.1,3.0
Nathan Daniel Layemard,Tarbes-Lourdes,1,1.0,3.0,0.0,0.0,0.0,0.0,-,100.0,100.0,-,150.0,0.0,0.0,0.0,0.0,3.0,3.0
Ali Ould Brahim,Orchies,4,6.5,2.5,1.0,0.0,0.8,0.2,50.0,-,50.0,-,50.0,0.2,0.5,0.0,1.8,-0.5,3.0
Samuel Thenelien,Levallois,4,8.0,2.5,1.2,2.0,0.5,0.8,50.0,28.6,33.3,66.7,48.4,0.5,0.0,1.5,1.0,-0.5,3.0
Samba Balayera,Poissy,7,22.7,7.0,2.1,0.9,0.1,2.0,27.3,28.3,28.1,50.0,40.5,0.4,0.3,1.4,1.4,-6.4,2.9
Mike Benhamed,Mulhouse,17,14.6,3.9,1.6,0.8,0.5,1.1,50.0,13.3,28.0,75.0,38.6,0.9,0.1,0.8,2.0,-1.9,2.9
Matheo Radnic,Chartres,8,11.5,2.9,0.8,2.4,0.2,0.5,33.3,27.3,30.4,60.0,42.0,0.5,0.0,1.1,1.2,-2.2,2.9
Grace Matundu Vubi,Le Havre,17,8.9,2.1,1.1,0.5,0.4,0.7,35.0,45.5,38.7,66.7,50.1,0.4,0.3,0.3,1.6,1.5,2.8
Jimmy Djimrabaye,Boulogne-sur-Mer,4,9.0,1.5,1.8,0.2,0.2,1.5,-,40.0,40.0,-,60.0,1.0,0.0,1.0,1.8,-2.0,2.8
Brandon Muela,Pôle France,17,20.8,5.2,1.5,0.9,0.6,0.9,45.0,6.2,38.5,51.9,41.2,0.9,0.1,1.6,1.7,-13.4,2.7
William Gneze,Mulhouse,14,14.3,4.3,1.5,0.5,0.8,0.7,47.8,19.0,38.8,80.0,43.4,0.2,0.1,0.9,1.3,-3.1,2.7
Antoine Dos Santos Mango,Metz BC,11,7.4,2.8,1.0,0.6,0.4,0.6,40.0,62.5,47.8,66.7,60.5,0.2,0.0,0.6,1.2,2.1,2.7
Lenny Gruselle,Loon Plage,18,7.9,2.6,1.2,0.9,0.3,0.9,52.9,43.8,48.5,38.9,56.2,0.2,0.1,0.7,0.3,-1.3,2.7
Kyliann Rotardier,Orchies,5,7.8,3.6,1.4,0.6,0.2,1.2,33.3,25.0,28.6,66.7,46.7,0.6,0.2,1.0,2.2,-0.2,2.6
Gaby Pointel,Rennes,28,10.0,3.3,0.8,0.5,0.3,0.5,55.0,34.4,39.5,80.0,54.4,0.2,0.0,0.4,0.9,1.2,2.6
Mehdi Bouhmama,Fougères,29,6.9,2.3,1.1,0.3,0.6,0.5,47.1,40.0,45.5,68.8,56.8,0.4,0.1,0.4,1.1,-1.4,2.6
Leandry Claude,Levallois,11,8.5,2.5,0.5,0.5,0.5,0.1,70.0,27.3,47.6,50.0,55.1,0.5,0.1,0.4,1.5,0.0,2.4
Peter Biassou,Val de Seine,5,5.6,1.2,1.0,0.8,0.4,0.6,60.0,0.0,37.5,-,37.5,0.4,0.0,0.0,2.0,-5.0,2.4
Mathieu Baron,LYONSO,18,12.4,2.8,0.9,1.3,0.3,0.7,47.4,24.3,32.1,60.0,42.2,0.7,0.0,1.2,1.5,-0.8,2.3
Omar-Femi Alaby-Badiane,Poissy,24,10.0,3.5,1.0,0.4,0.2,0.7,51.6,29.2,38.0,57.9,48.6,0.3,0.0,0.5,1.1,-3.1,2.2
Alex Tchikou,Levallois,16,8.6,2.8,2.2,0.1,0.6,1.6,41.7,0.0,39.5,42.4,41.9,0.4,0.4,1.1,2.4,-1.4,2.2
